Execution,clock,current_position_x,current_position_y,target_position_x,target_position_y,move_x,move_y
1,4140,220.0,270.0,0,0,0,0
1,4157,220.0,265.0,0,0,0,-5
1,4174,220.0,260.0,0,0,0,-5
1,4192,220.0,255.0,0,0,0,-5
1,4208,220.0,250.0,0,0,0,-5
1,4224,220.0,245.0,0,0,0,-5
1,4241,220.0,240.0,0,0,0,-5
1,4258,220.0,235.0,0,0,0,-5
1,4275,220.0,235.0,0,0,0,0
1,4292,220.0,235.0,0,0,0,0
1,4309,220.0,235.0,0,0,0,0
1,4326,220.0,235.0,0,0,0,0
1,4343,220.0,235.0,0,0,0,0
1,4360,220.0,235.0,0,0,0,0
1,4377,215.0,235.0,0,0,-5,0
1,4395,210.0,235.0,0,0,-5,0
1,4411,205.0,235.0,0,0,-5,0
1,4428,200.0,235.0,0,0,-5,0
1,4445,195.0,235.0,0,0,-5,0
1,4462,195.0,235.0,0,0,0,0
1,4479,195.0,235.0,0,0,0,0
1,4496,195.0,235.0,0,0,0,0
1,4513,195.0,235.0,0,0,0,0
1,4530,195.0,235.0,0,0,0,0
1,4547,195.0,235.0,0,0,0,0
1,4564,195.0,230.0,0,0,0,-5
1,4581,195.0,225.0,0,0,0,-5
1,4598,195.0,220.0,0,0,0,-5
1,4615,195.0,215.0,0,0,0,-5
1,4632,195.0,210.0,0,0,0,-5
1,4649,195.0,205.0,0,0,0,-5
1,4666,195.0,200.0,0,0,0,-5
1,4683,195.0,195.0,0,0,0,-5
1,4700,195.0,190.0,0,0,0,-5
1,4717,195.0,185.0,0,0,0,-5
1,4734,195.0,180.0,0,0,0,-5
1,4751,195.0,175.0,0,0,0,-5
1,4768,195.0,175.0,0,0,0,0
1,4785,195.0,175.0,0,0,0,0
1,4802,195.0,175.0,0,0,0,0
1,4819,195.0,175.0,0,0,0,0
1,4836,195.0,175.0,0,0,0,0
1,4853,195.0,175.0,0,0,0,0
1,4870,195.0,175.0,0,0,0,0
1,4887,195.0,175.0,0,0,0,0
1,4904,195.0,175.0,0,0,0,0
1,4921,195.0,175.0,0,0,0,0
1,4939,195.0,175.0,0,0,0,0
1,4957,195.0,175.0,0,0,0,0
1,4974,195.0,175.0,0,0,0,0
1,4991,195.0,175.0,0,0,0,0
1,5007,190.0,175.0,0,0,-5,0
1,5024,185.0,175.0,0,0,-5,0
1,5040,180.0,175.0,0,0,-5,0
1,5056,175.0,175.0,0,0,-5,0
1,5073,175.0,175.0,0,0,0,0
1,5090,175.0,175.0,0,0,0,0
1,5107,175.0,175.0,0,0,0,0
1,5124,175.0,175.0,0,0,0,0
1,5141,175.0,175.0,0,0,0,0
1,5158,175.0,175.0,0,0,0,0
1,5175,175.0,175.0,0,0,0,0
1,5192,175.0,175.0,0,0,0,0
1,5208,175.0,175.0,0,0,0,0
1,5225,175.0,175.0,0,0,0,0
1,5242,175.0,175.0,0,0,0,0
1,5259,175.0,175.0,0,0,0,0
1,5276,175.0,175.0,0,0,0,0
1,5292,175.0,175.0,0,0,0,0
1,5309,170.0,175.0,0,0,-5,0
1,5326,165.0,175.0,0,0,-5,0
1,5343,160.0,175.0,0,0,-5,0
1,5361,155.0,175.0,0,0,-5,0
1,5378,150.0,175.0,0,0,-5,0
1,5395,145.0,175.0,0,0,-5,0
1,5412,145.0,175.0,0,0,0,0
1,5429,145.0,175.0,0,0,0,0
1,5445,145.0,175.0,0,0,0,0
1,5462,145.0,175.0,0,0,0,0
1,5479,145.0,175.0,0,0,0,0
1,5496,145.0,175.0,0,0,0,0
1,5513,145.0,170.0,0,0,0,-5
1,5530,145.0,165.0,0,0,0,-5
1,5548,145.0,160.0,0,0,0,-5
1,5565,145.0,155.0,0,0,0,-5
1,5581,145.0,150.0,0,0,0,-5
1,5597,145.0,145.0,0,0,0,-5
1,5614,140.0,145.0,0,0,-5,0
1,5631,135.0,145.0,0,0,-5,0
1,5648,130.0,145.0,0,0,-5,0
1,5664,125.0,145.0,0,0,-5,0
1,5681,120.0,145.0,0,0,-5,0
1,5698,115.0,145.0,0,0,-5,0
1,5715,115.0,145.0,0,0,0,0
1,5732,115.0,145.0,0,0,0,0
1,5749,115.0,145.0,0,0,0,0
1,5765,115.0,145.0,0,0,0,0
1,5782,115.0,145.0,0,0,0,0
1,5799,115.0,145.0,0,0,0,0
1,5816,115.0,145.0,0,0,0,0
1,5833,115.0,145.0,0,0,0,0
1,5850,115.0,145.0,0,0,0,0
1,5867,115.0,145.0,0,0,0,0
1,5884,110.0,145.0,0,0,-5,0
1,5901,105.0,145.0,0,0,-5,0
1,5918,105.0,145.0,0,0,0,0
1,5935,105.0,145.0,0,0,0,0
1,5952,105.0,145.0,0,0,0,0
1,5968,105.0,145.0,0,0,0,0
1,5985,105.0,140.0,0,0,0,-5
1,6002,105.0,135.0,0,0,0,-5
